NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-ORE,2020-08-03,AUD,2.96,3841165.0,2021-05-19,4.95,67.23,59.0,2021-01-05,4.95,5170462.0,-,CLOSED,67.23,127.0,46.0,100.0
-,ASX-WEB,2020-08-04,AUD,2.74,14750245.0,2021-07-06,3.87,41.24,31.0,2020-09-08,3.87,13575227.0,-,CLOSED,41.24,346.0,9.0,100.0
-,ASX-SYR,2020-08-04,AUD,0.37,1705843.0,2021-03-25,0.89,140.54,152.0,2020-11-30,0.89,2730281.0,-,CLOSED,140.54,351.0,43.0,100.0
-,ASX-SYR,2020-08-04,AUD,0.37,1705843.0,2021-04-27,0.61,64.86,61.0,2020-11-17,0.61,2730281.0,-,CLOSED,64.86,182.0,34.0,100.0
-,ASX-SCG,2020-08-04,AUD,2.02,47668287.0,2021-05-29,2.63,30.2,26.0,2020-11-10,2.63,21834063.0,-,CLOSED,30.2,91.0,28.0,100.0
-,ASX-RWC,2020-08-04,AUD,2.63,7236019.0,2021-02-17,4.08,55.13,71.0,2020-10-01,4.08,4854290.0,-,CLOSED,55.13,278.0,25.0,100.0
-,ASX-RWC,2020-08-04,AUD,2.63,7236019.0,2020-12-30,3.79,44.11,75.0,2020-08-31,3.79,5362228.0,-,CLOSED,44.11,483.0,16.0,100.0
-,ASX-GXY,2020-08-06,AUD,1.29,7438568.0,2020-10-23,1.73,34.11,110.0,2020-10-23,1.35,3465751.0,-,CLOSED,4.65,17.0,86.0,14.0
-,ASX-ORA,2020-08-07,AUD,2.33,4219893.0,2021-07-13,3.09,32.62,24.0,2021-03-09,3.09,11284893.0,-,CLOSED,32.62,45.0,54.0,100.0
-,ASX-BPT,2020-08-10,AUD,1.45,8596286.0,2021-03-20,2.26,55.86,63.0,2021-03-19,1.72,17816899.0,-,CLOSED,18.62,25.0,86.0,33.0
-,ASX-WEB,2020-08-10,AUD,3.24,31083517.0,2021-05-14,4.47,37.96,35.0,2020-11-10,4.47,13575227.0,-,CLOSED,37.96,121.0,29.0,100.0
-,ASX-MFG,2020-08-10,AUD,62.8,29982471.0,2021-04-26,82.66,31.62,31.0,2021-03-22,44.4,15709253.0,2021-08-10,OPEN,-29.3,-38.0,75.0,-93.0
-,ASX-S32,2020-08-10,AUD,2.22,21656594.0,2021-04-19,3.04,36.94,37.0,2021-03-22,2.74,27273656.0,2021-08-19,OPEN,23.42,31.0,77.0,63.0
-,ASX-WEB,2020-08-10,AUD,3.24,31083517.0,2021-06-02,7.18,121.6,104.0,2021-03-22,6.15,13575227.0,2021-08-17,OPEN,89.81,117.0,65.0,74.0
-,ASX-NAN,2020-08-10,AUD,6.32,4218000.0,2021-07-10,8.77,38.77,29.0,2021-03-22,6.15,1971462.0,2021-02-23,OPEN,-2.69,-4.0,58.0,-7.0
-,ASX-GEM,2020-08-11,AUD,0.83,1820408.0,2021-05-19,1.09,31.33,28.0,2020-10-12,1.09,2291689.0,-,CLOSED,31.33,149.0,19.0,100.0
-,ASX-RWC,2020-08-12,AUD,2.77,26881017.0,2021-01-19,3.83,38.27,60.0,2020-09-02,3.83,6835028.0,-,CLOSED,38.27,536.0,11.0,100.0
-,ASX-SDF,2020-08-12,AUD,3.44,7805265.0,2021-06-01,4.52,31.4,27.0,2021-03-22,3.86,8362590.0,2021-02-23,OPEN,12.21,16.0,65.0,39.0
-,ASX-WEB,2020-08-13,AUD,3.5,19361972.0,2021-04-29,4.79,36.86,36.0,2020-11-10,4.79,13575227.0,-,CLOSED,36.86,122.0,29.0,100.0
-,ASX-SDF,2020-08-13,AUD,3.46,10215677.0,2021-06-02,4.55,31.5,27.0,2021-03-22,3.86,8362590.0,2021-02-23,OPEN,11.56,15.0,65.0,37.0
-,ASX-WEB,2020-08-13,AUD,3.5,19361972.0,2021-04-28,6.87,96.29,94.0,2021-03-22,6.15,13575227.0,2021-08-17,OPEN,75.71,100.0,74.0,79.0
-,ASX-BPT,2020-08-13,AUD,1.45,8762750.0,2021-03-23,2.26,55.86,63.0,2021-03-22,1.745,13183243.0,2021-08-15,OPEN,20.34,27.0,86.0,36.0
-,ASX-SEK,2020-08-14,AUD,19.55,41592293.0,2021-06-12,26.48,35.45,30.0,2020-11-25,26.48,13248025.0,-,CLOSED,35.45,102.0,29.0,100.0
-,ASX-SEK,2020-08-14,AUD,19.55,41592293.0,2021-08-08,26.41,35.09,25.0,2020-11-19,26.41,13248025.0,-,CLOSED,35.09,107.0,23.0,100.0
-,ASX-A2M,2020-08-18,AUD,19.49,89126113.0,2021-02-07,28.64,46.95,68.0,2021-02-05,10.36,46276825.0,-,CLOSED,-46.84,-80.0,85.0,-100.0
-,ASX-SEK,2020-08-18,AUD,19.41,37568754.0,2021-06-16,26.29,35.45,30.0,2020-11-19,26.29,13248025.0,-,CLOSED,35.45,112.0,26.0,100.0
-,ASX-SEK,2020-08-18,AUD,19.41,37568754.0,2021-07-05,27.14,39.82,31.0,2020-12-09,27.14,13248025.0,-,CLOSED,39.82,103.0,30.0,100.0
-,ASX-SEK,2020-08-18,AUD,19.41,37568754.0,2021-08-12,26.22,35.09,25.0,2020-11-19,26.22,13248025.0,-,CLOSED,35.09,111.0,22.0,100.0
-,ASX-CGC,2020-08-19,AUD,3.03,7593515.0,2021-03-03,4.3,41.91,54.0,2021-01-06,4.3,9341334.0,-,CLOSED,41.91,88.0,61.0,100.0
-,ASX-SEK,2020-08-19,AUD,19.71,25444684.0,2021-06-17,26.7,35.46,30.0,2020-12-01,26.7,13248025.0,-,CLOSED,35.46,100.0,29.0,100.0
-,ASX-SEK,2020-08-19,AUD,19.71,25444684.0,2021-08-13,26.62,35.06,25.0,2020-12-01,26.62,13248025.0,-,CLOSED,35.06,99.0,25.0,100.0
-,ASX-NAN,2020-08-19,AUD,6.5,5734514.0,2021-07-19,9.02,38.77,29.0,2021-03-22,6.15,1971462.0,2021-02-23,OPEN,-5.38,-7.0,55.0,-14.0
-,ASX-BPT,2020-08-19,AUD,1.56,14538626.0,2021-03-31,2.74,75.64,85.0,2021-03-22,1.745,13183243.0,2021-08-15,OPEN,11.86,16.0,83.0,16.0
-,ASX-GEM,2020-08-19,AUD,0.97,13393446.0,2021-05-22,1.34,38.14,35.0,2021-03-22,1.09,2291689.0,2021-02-23,OPEN,12.37,17.0,67.0,32.0
-,ASX-SDF,2020-08-20,AUD,3.55,8750032.0,2021-06-12,4.67,31.55,27.0,2021-03-22,3.86,8362590.0,2021-02-23,OPEN,8.73,12.0,62.0,28.0
-,ASX-NAN,2020-08-24,AUD,6.87,12776537.0,2021-07-03,10.0,45.56,37.0,2021-03-22,6.15,1971462.0,2021-02-23,OPEN,-10.48,-15.0,58.0,-23.0
-,ASX-FMG,2020-08-24,AUD,18.56,162040280.0,2021-06-13,24.85,33.89,29.0,2021-03-22,19.16,306394688.0,2021-08-30,OPEN,3.23,4.0,62.0,10.0
-,ASX-PMV,2020-08-25,AUD,19.11,6680648.0,2021-02-23,25.29,32.34,45.0,2021-01-13,25.29,9089230.0,-,CLOSED,32.34,67.0,66.0,100.0
-,ASX-CGC,2020-08-28,AUD,3.31,27418863.0,2021-03-12,4.7,41.99,54.0,2021-03-12,4.41,7214672.0,-,CLOSED,33.23,50.0,86.0,79.0
-,ASX-ORA,2020-08-28,AUD,2.28,7725981.0,2021-05-22,3.02,32.46,31.0,2021-03-08,3.02,2931460.0,-,CLOSED,32.46,50.0,62.0,100.0
-,ASX-A2M,2020-09-02,AUD,16.84,53596617.0,2021-05-19,29.84,77.2,75.0,2021-03-22,8.43,26458078.0,-,OPEN,-49.94,-73.0,67.0,-65.0
-,ASX-TWE,2020-09-02,AUD,9.28,38189922.0,2021-04-06,12.58,35.56,41.0,2021-03-22,11.08,18037431.0,2021-08-11,OPEN,19.4,28.0,80.0,55.0
-,ASX-A2M,2020-09-02,AUD,16.84,53596617.0,2021-05-22,28.8,71.02,68.0,2021-03-22,8.43,26458078.0,-,OPEN,-49.94,-73.0,66.0,-70.0
-,ASX-SYR,2020-09-03,AUD,0.4,423483.0,2021-05-27,0.66,65.0,62.0,2020-11-19,0.66,2730281.0,-,CLOSED,65.0,248.0,25.0,100.0
-,ASX-SYR,2020-09-03,AUD,0.4,423483.0,2021-04-24,0.96,140.0,151.0,2020-12-02,0.96,2730281.0,-,CLOSED,140.0,458.0,33.0,100.0
-,ASX-A2M,2020-09-03,AUD,17.15,74373342.0,2021-05-23,29.34,71.08,68.0,2021-03-22,8.43,26458078.0,-,OPEN,-50.85,-75.0,66.0,-72.0
-,ASX-ORA,2020-09-04,AUD,2.34,7723232.0,2021-08-10,3.11,32.91,24.0,2021-03-10,3.11,11284893.0,-,CLOSED,32.91,52.0,47.0,100.0
-,ASX-A2M,2020-09-07,AUD,16.79,37601474.0,2021-05-27,28.72,71.05,68.0,2021-03-22,8.43,26458078.0,-,OPEN,-49.79,-74.0,65.0,-70.0
